PS C:\Users\sacha> scoop search
Results from local buckets...

Name                               Version                                  Source Binaries
----                               -------                                  ------ --------
010editor                          13.0.2                                   extras
3d-fix-manager                     1.85                                     extras
3rvx                               2.9.2                                    extras
4gb-patch                          1.0.0.1                                  extras
64gram                             1.0.83                                   extras
7tsp                               0.6                                      extras
7tt                                5.14.1                                   extras
7ztm                               2.1.1                                    extras
86box-manager                      1.7.4                                    extras
86box-roms                         3.11                                     extras
86box                              3.11                                     extras
abricotine                         1.1.4                                    extras
accesser                           0.8.1                                    extras
activate-linux                     1.1.0                                    extras
activemq-artemis                   2.28.0                                   extras
activemq                           5.18.1                                   extras
advanced-ip-scanner                2.5.4594.1                               extras
advancedrenamer                    3.88.1                                   extras
adventuregamestudio                3.6.0.47                                 extras
adwcleaner                         8.4.0                                    extras
aegisubdc                          9215                                     extras
age                                1.1.1                                    extras
ahkpm                              0.7.0                                    extras
aida64extreme                      6.88.6400                                extras
aimp                               5.11.2429                                extras
aircrack-ng                        1.7                                      extras
airdroid                           3.7.1.2                                  extras
akelpad                            4.9.8                                    extras
alacritty                          0.12.0                                   extras
album-art-downloader               1.05                                     extras
alldup                             4.5.46                                   extras
alpinewsl                          3.16.0-0                                 extras
altair                             5.0.24                                   extras
altdrag                            1.1                                      extras
altools                            1.0                                      extras
altsnap                            1.60                                     extras
amazon-workspaces                  5.9.0.4129                               extras
amfora                             1.9.2                                    extras
amp-winoff                         5.0.1                                    extras
anaconda3                          2023.03-1                                extras
android-line-transfer              3.1.93                                   extras
android-messages                   5.4.1                                    extras
android-sdk                        4333796                                  extras
android-sms-backup-and-restore     2.14.40                                  extras
android-studio                     2022.2.1.19                              extras
ani-cli                            4.3                                      extras
anki                               2.1.63                                   extras
another-redis-desktop-manager      1.6.0                                    extras
antares                            0.7.9                                    extras
antidupl.net                       2.3.11                                   extras
antimicro                          2.24                                     extras
anyburn                            5.6                                      extras
anydesk                            7.1.11                                   extras
ao                                 6.9.0                                    extras
apache-directory-studio            2.0.0.v20210717-M17                      extras
apache-ivy                         2.5.1                                    extras
apache-tinkerpop-gremlin-console   3.6.4                                    extras
apache-tinkerpop-gremlin-server    3.6.4                                    extras
ape                                3.1.1                                    extras
apifox                             2.2.39                                   extras
apkeep                             0.15.0                                   extras
appbuster                          1.3.1343                                 extras
appengine-go                       1.9.70                                   extras
appflowy                           0.1.5                                    extras
appium                             1.22.3                                   extras
archisteamfarm                     5.4.5.2                                  extras
archwsl                            22.10.16.0                               extras
arcwelder                          1.2.0                                    extras
arduino                            2.1.0                                    extras
argyllcms                          2.3.1                                    extras
aria-ng-gui                        3.1.2                                    extras
ariang-native                      1.3.6                                    extras
armcord                            3.2.0                                    extras
armips                             0.11.0                                   extras
